DataZone,DZName,LAName,SAPE2017,WAPE2017,Rankv2,Quintilev2,Decilev2,Vigintilv2,Percentv2,IncRate,IncNumDep,IncRankv2,EmpRate,EmpNumDep,EmpRank,HlthCIF,HlthAlcSR,HlthDrugSR,HlthSMR,HlthDprsPc,HlthLBWTPc,HlthEmergS,HlthRank,EduAttend,EduAttain,EduNoQuals,EduPartici,EduUniver,EduRank,GAccPetrol,GAccDTGP,GAccDTPost,GAccDTPsch,GAccDTSsch,GAccDTRet,GAccPTGP,GAccPTPost,GAccPTRet,GAccBrdbnd,GAccRank,CrimeCount,CrimeRate,CrimeRank,HouseNumOC,HouseNumNC,HouseOCrat,HouseNCrat,HouseRank,Shape_Leng,Shape_Area
S01006757,Danestone - 02,Aberdeen City,920,570,6705,5,10,20,97,2%,14,6697.00000000000,2%,13,6327.00000000000,50,46,49,171,21%,0%,75,4601,92%,5.70000000000,60,2%,6%,5034,2.65000000000,1.10000000000,4.24000000000,2.21000000000,5.23000000000,2.75000000000,4.07000000000,9.71000000000,7.78000000000,0%,6014,0,0,6687.00000000000,26,18,4%,2%,5386.00000000000,2350.13809467000,174225.84047700000
S01006758,Danestone - 03,Aberdeen City,663,440,6849,5,10,20,99,3%,17,6184.50000000000,2%,9,6397.00000000000,30,93,21,42,12%,3%,68,6470,92%,6.15000000000,44,0%,19%,6414,2.27000000000,1.60000000000,4.01000000000,1.82000000000,5.08000000000,2.37000000000,6.66000000000,11.17000000000,6.74000000000,0%,5612,9,137,4413.00000000000,29,9,4%,1%,5619.00000000000,2099.26278327000,146170.39500100000
S01006759,Danestone - 04,Aberdeen City,592,386,6793,5,10,20,98,2%,14,6295.00000000000,2%,7,6621.00000000000,20,6,27,82,14%,6%,61,6758,84%,6.04000000000,49,1%,15%,5444,2.52000000000,2.17000000000,4.06000000000,2.55000000000,5.53000000000,2.61000000000,8.42000000000,12.13000000000,7.89000000000,0%,4227,5,86,5398.00000000000,27,2,5%,0%,5832.00000000000,3667.78828290000,256140.87502300000
S01006760,Danestone - 05,Aberdeen City,439,310,6343,5,10,19,91,5%,21,5095.00000000000,2%,7,6228.00000000000,30,23,27,80,12%,6%,96,6229,0%,5.70000000000,49,0%,2%,4620,2.82000000000,0.76000000000,3.66000000000,1.72000000000,4.71000000000,2.92000000000,3.02000000000,8.69000000000,7.82000000000,0%,6623,3,69,5753.00000000000,56,6,11%,1%,2884.00000000000,1965.56080309000,87627.30089250000
S01006761,Danestone - 06,Aberdeen City,674,420,6632,5,10,20,96,1%,10,6715.00000000000,2%,10,6283.00000000000,35,69,0,58,15%,9%,68,6196,0%,5.50000000000,64,2%,3%,4527,1.74000000000,1.71000000000,3.98000000000,2.74000000000,5.86000000000,2.18000000000,4.68000000000,10.34000000000,6.78000000000,12%,4934,8,120,4748.00000000000,36,25,5%,4%,4199.00000000000,3717.82365126000,347293.55044200000
S01006762,Oldmachar West - 01,Aberdeen City,1061,594,5401,4,8,16,78,3%,37,5716.00000000000,3%,20,5560.00000000000,75,21,18,95,17%,5%,73,4589,91%,5.47000000000,68,7%,16%,4746,1.91000000000,2.02000000000,4.87000000000,5.40000000000,4.95000000000,5.01000000000,6.70000000000,18.14000000000,13.91000000000,26%,2052,18,172,3833.00000000000,44,8,5%,1%,5178.00000000000,19857.73760800000,9418526.83358000000
S01006763,Oldmachar West - 02,Aberdeen City,840,614,6060,5,9,18,87,5%,40,5105.00000000000,2%,14,6307.00000000000,25,14,14,37,13%,3%,74,6673,91%,5.67000000000,39,2%,12%,5641,2.59000000000,2.42000000000,6.51000000000,2.46000000000,3.28000000000,6.44000000000,8.29000000000,20.86000000000,18.79000000000,1%,2036,4,48,6201.00000000000,40,8,5%,1%,5583.00000000000,1719.40477200000,121795.52540300000
S01006764,Oldmachar West - 03,Aberdeen City,708,533,6489,5,10,19,94,2%,14,6488.00000000000,3%,14,6043.00000000000,35,66,0,43,15%,0%,92,6001,91%,5.87000000000,47,3%,14%,5674,2.06000000000,1.89000000000,5.98000000000,2.39000000000,2.74000000000,5.91000000000,7.63000000000,20.39000000000,18.32000000000,0%,3053,3,43,6316.00000000000,58,16,7%,2%,3955.00000000000,1502.39516044000,112325.89507800000
S01006765,Oldmachar West - 04,Aberdeen City,536,394,5678,5,9,17,82,3%,14,6169.00000000000,5%,18,4802.50000000000,40,39,0,83,14%,3%,70,6004,81%,5.64000000000,56,0%,8%,4426,2.21000000000,2.04000000000,6.13000000000,2.10000000000,2.81000000000,6.06000000000,8.28000000000,20.89000000000,18.82000000000,0%,2840,0,0,6728.00000000000,60,32,10%,5%,1964.00000000000,1804.19765479000,100686.52905500000
S01006766,Oldmachar West - 05,Aberdeen City,593,434,6412,5,10,19,92,2%,13,6376.00000000000,3%,12,6010.00000000000,25,35,69,75,15%,3%,68,6456,77%,5.95000000000,27,1%,18%,5548,2.47000000000,2.31000000000,6.39000000000,2.28000000000,3.26000000000,6.32000000000,8.24000000000,20.81000000000,18.74000000000,0%,2394,0,0,6753.50000000000,27,19,4%,3%,4696.00000000000,1726.67619280000,140235.72015100000
S01006767,Oldmachar West - 06,Aberdeen City,654,420,5569,4,8,16,80,4%,29,5264.00000000000,5%,20,4741.00000000000,60,10,68,83,13%,4%,73,5293,89%,6.22000000000,79,1%,16%,5560,2.02000000000,2.04000000000,4.06000000000,2.80000000000,3.38000000000,4.47000000000,6.15000000000,15.20000000000,11.42000000000,41%,3159,5,77,5590.00000000000,61,1,9%,0%,4110.00000000000,2220.30456877000,154734.62554300000
S01006768,Oldmachar East - 01,Aberdeen City,620,412,6877,5,10,20,99,1%,5,6923.00000000000,2%,8,6561.00000000000,30,34,0,22,13%,0%,50,6771,89%,5.47000000000,38,1%,13%,5385,2.54000000000,2.23000000000,3.44000000000,2.86000000000,3.71000000000,3.94000000000,5.89000000000,12.41000000000,9.93000000000,2%,3932,3,49,6179.00000000000,12,0,2%,0%,6750.00000000000,1958.02964182000,136238.86357400000
S01006769,Oldmachar East - 02,Aberdeen City,922,569,4848,4,7,14,70,6%,57,4541.00000000000,5%,27,4693.00000000000,85,72,46,71,20%,0%,81,3847,88%,5.73000000000,89,2%,12%,4499,2.46000000000,2.51000000000,4.17000000000,2.98000000000,3.65000000000,4.44000000000,7.29000000000,17.13000000000,12.59000000000,39%,2429,3,33,6503.00000000000,62,5,6%,1%,4933.00000000000,2373.34859182000,193285.19649600000
S01006770,Oldmachar East - 03,Aberdeen City,593,337,6181,5,9,18,89,3%,17,6023.00000000000,4%,14,5074.00000000000,30,38,30,48,14%,11%,71,6389,91%,5.60000000000,61,0%,11%,5290,2.16000000000,2.29000000000,4.13000000000,2.44000000000,3.53000000000,3.93000000000,8.60000000000,17.42000000000,15.33000000000,0%,3307,0,0,6753.50000000000,32,3,5%,0%,5667.00000000000,2048.75186212000,117543.83869500000
S01006771,Oldmachar East - 04,Aberdeen City,435,291,6333,5,10,19,91,3%,15,5735.00000000000,3%,10,5555.00000000000,35,152,0,64,11%,0%,76,6209,88%,6.50000000000,49,3%,11%,5933,1.84000000000,1.97000000000,3.84000000000,2.20000000000,3.21000000000,3.64000000000,7.68000000000,16.38000000000,14.31000000000,16%,3451,0,0,6928.00000000000,28,0,6%,0%,5360.00000000000,1858.38657782000,76186.37270660000
S01006772,Oldmachar East - 05,Aberdeen City,852,570,6434,5,10,19,93,1%,12,6744.50000000000,2%,12,6472.00000000000,40,85,0,57,12%,0%,87,5973,88%,5.67000000000,74,4%,14%,4632,2.42000000000,2.55000000000,3.74000000000,2.23000000000,3.55000000000,3.53000000000,7.86000000000,15.18000000000,13.10000000000,16%,3096,10,119,4774.00000000000,60,13,7%,2%,4227.00000000000,2492.01027117000,230154.11863300000
S01006773,Oldmachar East - 06,Aberdeen City,875,521,6088,5,9,18,88,3%,28,5864.00000000000,2%,13,6167.00000000000,50,31,0,169,19%,2%,82,4938,90%,5.39000000000,58,3%,9%,4619,2.06000000000,2.11000000000,4.85000000000,2.13000000000,3.19000000000,4.68000000000,6.17000000000,16.58000000000,14.51000000000,0%,3704,9,104,5033.00000000000,23,4,3%,1%,6150.00000000000,4245.24241896000,320590.19960900000
S01006774,Oldmachar East - 07,Aberdeen City,603,411,6524,5,10,19,94,2%,10,6631.00000000000,3%,10,6137.00000000000,25,71,0,50,13%,0%,50,6767,89%,6.05000000000,59,2%,14%,5550,2.10000000000,2.23000000000,4.73000000000,2.38000000000,3.39000000000,4.53000000000,9.83000000000,19.77000000000,17.69000000000,40%,2147,0,0,6762.00000000000,22,1,3%,0%,6322.00000000000,1851.68610003000,99027.82678660000
S01006775,Balgownie and Donmouth West - 01,Aberdeen City,717,507,4565,4,7,14,66,7%,52,4165.00000000000,5%,26,4570.00000000000,75,79,18,98,17%,12%,79,4109,83%,6.11000000000,83,5%,13%,4496,3.94000000000,2.54000000000,3.29000000000,3.47000000000,4.84000000000,3.56000000000,10.71000000000,11.73000000000,12.24000000000,1%,2344,6,85,5418.00000000000,86,13,14%,2%,1892.00000000000,6603.44543932000,753829.48900200000
S01006776,Balgownie and Donmouth West - 02,Aberdeen City,513,272,3409,3,5,10,49,15%,75,2312.00000000000,9%,23,3190.00000000000,105,14,68,77,23%,0%,87,3417,0%,6.13000000000,107,6%,11%,4594,4.17000000000,2.37000000000,2.09000000000,3.82000000000,3.43000000000,2.61000000000,8.09000000000,6.66000000000,8.57000000000,0%,4836,7,138,4396.00000000000,70,1,14%,0%,2345.00000000000,1463.51889957000,79067.30932410000
S01006777,Balgownie and Donmouth West - 03,Aberdeen City,650,358,6936,5,10,20,100,1%,9,6756.00000000000,3%,9,6090.00000000000,45,15,0,71,12%,6%,65,6237,93%,5.95000000000,54,1%,18%,6000,3.76000000000,2.78000000000,1.28000000000,2.89000000000,2.43000000000,1.48000000000,8.35000000000,5.61000000000,5.71000000000,0%,6339,0,0,6928.00000000000,18,3,3%,0%,6430.00000000000,2815.95036378000,128138.18856600000
S01006778,Balgownie and Donmouth West - 04,Aberdeen City,597,362,5367,4,8,16,77,4%,25,5370.00000000000,6%,23,3984.00000000000,70,85,0,74,18%,7%,81,4435,0%,5.82000000000,71,2%,8%,5066,4.08000000000,2.74000000000,0.97000000000,2.74000000000,2.14000000000,1.25000000000,7.66000000000,3.10000000000,3.64000000000,0%,6821,10,170,3866.00000000000,50,16,8%,3%,3568.00000000000,2759.12189444000,160449.65711900000
