Year of occurrence,Month of occurrence,Sex,Council area,Number of deaths
2020,June,Males,Perth and Kinross,61
2020,June,Males,Renfrewshire,73
2020,June,Males,Scottish Borders,53
2020,June,Males,Shetland Islands,5
2020,June,Males,South Ayrshire,71
2020,June,Males,South Lanarkshire,142
2020,June,Males,Stirling,32
2020,June,Males,West Dunbartonshire,49
2020,June,Males,West Lothian,71
2020,July,Females,Scotland,2276
2020,July,Females,Aberdeen City,86
2020,July,Females,Aberdeenshire,97
2020,July,Females,Angus,64
2020,July,Females,Argyll and Bute,32
2020,July,Females,City of Edinburgh,140
2020,July,Females,Clackmannanshire,20
2020,July,Females,Dumfries and Galloway,78
2020,July,Females,Dundee City,70
2020,July,Females,East Ayrshire,47
2020,July,Females,East Dunbartonshire,35
2020,July,Females,East Lothian,41
2020,July,Females,East Renfrewshire,35
2020,July,Females,Falkirk,72
2020,July,Females,Fife,183
2020,July,Females,Glasgow City,246
2020,July,Females,Highland,105
2020,July,Females,Inverclyde,40
2020,July,Females,Midlothian,36
2020,July,Females,Moray,39
2020,July,Females,Na h-Eileanan Siar,15
2020,July,Females,North Ayrshire,74
2020,July,Females,North Lanarkshire,153
2020,July,Females,Orkney Islands,6
2020,July,Females,Perth and Kinross,72
2020,July,Females,Renfrewshire,79
2020,July,Females,Scottish Borders,63
2020,July,Females,Shetland Islands,9
2020,July,Females,South Ayrshire,57
2020,July,Females,South Lanarkshire,130
2020,July,Females,Stirling,41
2020,July,Females,West Dunbartonshire,46
2020,July,Females,West Lothian,65
2020,July,Males,Scotland,2225
2020,July,Males,Aberdeen City,72
2020,July,Males,Aberdeenshire,101
2020,July,Males,Angus,42
2020,July,Males,Argyll and Bute,55
2020,July,Males,City of Edinburgh,144
2020,July,Males,Clackmannanshire,14
2020,July,Males,Dumfries and Galloway,82
2020,July,Males,Dundee City,70
2020,July,Males,East Ayrshire,54
2020,July,Males,East Dunbartonshire,39
2020,July,Males,East Lothian,49
2020,July,Males,East Renfrewshire,34
2020,July,Males,Falkirk,70
2020,July,Males,Fife,174
2020,July,Males,Glasgow City,232
2020,July,Males,Highland,101
2020,July,Males,Inverclyde,44
2020,July,Males,Midlothian,27
2020,July,Males,Moray,49
2020,July,Males,Na h-Eileanan Siar,10
2020,July,Males,North Ayrshire,72
2020,July,Males,North Lanarkshire,147
2020,July,Males,Orkney Islands,11
2020,July,Males,Perth and Kinross,66
2020,July,Males,Renfrewshire,79
2020,July,Males,Scottish Borders,60
2020,July,Males,Shetland Islands,12
2020,July,Males,South Ayrshire,62
2020,July,Males,South Lanarkshire,130
2020,July,Males,Stirling,35
2020,July,Males,West Dunbartonshire,26
2020,July,Males,West Lothian,62
2020,August,Females,Scotland,2157
2020,August,Females,Aberdeen City,68
2020,August,Females,Aberdeenshire,98
2020,August,Females,Angus,44
2020,August,Females,Argyll and Bute,42
2020,August,Females,City of Edinburgh,160
2020,August,Females,Clackmannanshire,15
2020,August,Females,Dumfries and Galloway,69
2020,August,Females,Dundee City,66
2020,August,Females,East Ayrshire,45
2020,August,Females,East Dunbartonshire,47
2020,August,Females,East Lothian,38
2020,August,Females,East Renfrewshire,26
2020,August,Females,Falkirk,62
2020,August,Females,Fife,152
2020,August,Females,Glasgow City,218
2020,August,Females,Highland,110
2020,August,Females,Inverclyde,58
2020,August,Females,Midlothian,28
2020,August,Females,Moray,38
2020,August,Females,Na h-Eileanan Siar,18
2020,August,Females,North Ayrshire,64
2020,August,Females,North Lanarkshire,145
2020,August,Females,Orkney Islands,7
2020,August,Females,Perth and Kinross,67
2020,August,Females,Renfrewshire,71
2020,August,Females,Scottish Borders,51
2020,August,Females,Shetland Islands,7
2020,August,Females,South Ayrshire,66
2020,August,Females,South Lanarkshire,156
2020,August,Females,Stirling,33
2020,August,Females,West Dunbartonshire,39
2020,August,Females,West Lothian,49
2020,August,Males,Scotland,2269
2020,August,Males,Aberdeen City,79
2020,August,Males,Aberdeenshire,98
2020,August,Males,Angus,54
2020,August,Males,Argyll and Bute,50
2020,August,Males,City of Edinburgh,170
2020,August,Males,Clackmannanshire,23
2020,August,Males,Dumfries and Galloway,81
2020,August,Males,Dundee City,47
2020,August,Males,East Ayrshire,42
2020,August,Males,East Dunbartonshire,44
2020,August,Males,East Lothian,40
2020,August,Males,East Renfrewshire,41
2020,August,Males,Falkirk,77
2020,August,Males,Fife,176
